Frame,Label,Confidence
138,LiftOff,0.81
144,LiftOff,0.8
146,LiftOff,0.81
147,LiftOff,0.81
184,LiftOff,0.81
200,LiftOff,0.82
204,LiftOff,0.84
208,LiftOff,0.82
219,LiftOff,0.82
250,LiftOff,0.8
260,LiftOff,0.82
283,LiftOff,0.81
292,LiftOff,0.82
334,LiftOff,0.83
337,LiftOff,0.84
338,LiftOff,0.84
341,LiftOff,0.8
345,LiftOff,0.84
346,LiftOff,0.86
347,LiftOff,0.85
348,LiftOff,0.85
349,LiftOff,0.86
350,LiftOff,0.86
351,LiftOff,0.86
352,LiftOff,0.85
353,LiftOff,0.86
354,LiftOff,0.82
355,LiftOff,0.84
356,LiftOff,0.85
357,LiftOff,0.84
358,LiftOff,0.84
359,LiftOff,0.85
360,LiftOff,0.83
361,LiftOff,0.85
362,LiftOff,0.85
363,LiftOff,0.84
364,LiftOff,0.84
365,LiftOff,0.85
366,LiftOff,0.85
367,LiftOff,0.84
368,LiftOff,0.84
369,LiftOff,0.82
370,LiftOff,0.82
371,LiftOff,0.84
372,LiftOff,0.85
373,LiftOff,0.84
374,LiftOff,0.85
375,LiftOff,0.85
376,LiftOff,0.85
377,LiftOff,0.85
378,LiftOff,0.85
379,LiftOff,0.86
380,LiftOff,0.86
381,LiftOff,0.85
382,LiftOff,0.85
383,LiftOff,0.81
384,LiftOff,0.85
385,LiftOff,0.85
386,LiftOff,0.85
387,LiftOff,0.86
388,LiftOff,0.85
389,LiftOff,0.85
390,LiftOff,0.85
391,LiftOff,0.81
392,LiftOff,0.85
393,LiftOff,0.8
394,LiftOff,0.8
395,LiftOff,0.81
396,LiftOff,0.81
397,LiftOff,0.8
398,LiftOff,0.81
399,LiftOff,0.8
400,LiftOff,0.8
403,LiftOff,0.8
405,LiftOff,0.8
422,LiftOff,0.8
438,LiftOff,0.8
443,LiftOff,0.81
445,LiftOff,0.8
450,LiftOff,0.8
451,LiftOff,0.8
452,LiftOff,0.8
453,LiftOff,0.82
455,LiftOff,0.8
458,LiftOff,0.85
460,LiftOff,0.86
461,LiftOff,0.82
462,LiftOff,0.81
466,LiftOff,0.8
468,LiftOff,0.84
470,LiftOff,0.8
605,Release,0.818686030428769
